gem17,gem17name,fl17,bev17,kennziffer,name,krs17,
9772126,Bonstetten,6.75,"1,385",9772907,Welden (VGem),9772000,Augsburg
9772130,"Diedorf, Markt",33.29,"10,364",9772130,"Diedorf, Markt",9772000,Augsburg
9772131,"Dinkelscherben, Markt",67.65,"6,413",9772131,"Dinkelscherben, Markt",9772000,Augsburg
9772134,Ehingen,9.65,"1,035",9772906,Nordendorf (VGem),9772000,Augsburg
9772136,Ellgau,13.91,"1,118",9772906,Nordendorf (VGem),9772000,Augsburg
9772137,Emersacker,11.64,"1,374",9772907,Welden (VGem),9772000,Augsburg
9772141,"Fischach, Markt",30.17,"4,760",9772141,"Fischach, Markt",9772000,Augsburg
9772145,Gablingen,26.71,"4,713",9772145,Gablingen,9772000,Augsburg
9772147,"Gersthofen, Stadt",34.01,"22,430",9772147,"Gersthofen, Stadt",9772000,Augsburg
9772148,Gessertshausen,41.35,"4,281",9772908,Gessertshausen (VGem),9772000,Augsburg
9772149,Graben,14.55,"3,963",9772149,Graben,9772000,Augsburg
9772151,Großaitingen,39.05,"5,037",9772910,Großaitingen (VGem),9772000,Augsburg
9772156,Heretsried,17.3,974,9772907,Welden (VGem),9772000,Augsburg
9772157,Hiltenfingen,14.55,"1,457",9772912,Langerringen (VGem),9772000,Augsburg
9772159,Horgau,26.47,"2,707",9772159,Horgau,9772000,Augsburg
9772160,Kleinaitingen,15.66,"1,295",9772910,Großaitingen (VGem),9772000,Augsburg
9772162,Klosterlechfeld,2.36,"2,940",9772911,Lechfeld (VGem),9772000,Augsburg
9772163,"Königsbrunn, Stadt",18.4,"27,850",9772163,"Königsbrunn, Stadt",9772000,Augsburg
9772166,Kühlenthal,7.13,822,9772906,Nordendorf (VGem),9772000,Augsburg
9772167,Kutzenhausen,27.92,"2,489",9772167,Kutzenhausen,9772000,Augsburg
9772168,Langenneufnach,12.8,"1,762",9772909,Stauden (VGem),9772000,Augsburg
9772170,Langerringen,42.1,"3,773",9772912,Langerringen (VGem),9772000,Augsburg
9772171,Langweid a.Lech,23.55,"8,006",9772171,Langweid a.Lech,9772000,Augsburg
9772177,"Meitingen, Markt",29.87,"11,498",9772177,"Meitingen, Markt",9772000,Augsburg
9772178,Mickhausen,15.88,"1,387",9772909,Stauden (VGem),9772000,Augsburg
9772179,Mittelneufnach,16.92,"1,055",9772909,Stauden (VGem),9772000,Augsburg
9772184,"Neusäß, Stadt",25.22,"22,038",9772184,"Neusäß, Stadt",9772000,Augsburg
9772185,Nordendorf,7.52,"2,460",9772906,Nordendorf (VGem),9772000,Augsburg
9772186,Oberottmarshausen,8.6,"1,697",9772910,Großaitingen (VGem),9772000,Augsburg
9772197,Scherstetten,15.7,"1,027",9772909,Stauden (VGem),9772000,Augsburg
9772200,"Schwabmünchen, Stadt",55.5,"14,037",9772200,"Schwabmünchen, Stadt",9772000,Augsburg
9772202,"Stadtbergen, Stadt",11.49,"14,965",9772202,"Stadtbergen, Stadt",9772000,Augsburg
9772207,"Thierhaupten, Markt",39.19,"4,027",9772207,"Thierhaupten, Markt",9772000,Augsburg
9772209,Untermeitingen,16.02,"6,931",9772911,Lechfeld (VGem),9772000,Augsburg
9772211,Ustersbach,11.13,"1,167",9772908,Gessertshausen (VGem),9772000,Augsburg
9772214,Walkertshofen,12.74,"1,089",9772909,Stauden (VGem),9772000,Augsburg
9772215,Wehringen,14.11,"2,890",9772215,Wehringen,9772000,Augsburg
9772216,"Welden, Markt",17.98,"3,745",9772907,Welden (VGem),9772000,Augsburg
9772217,Westendorf,6.32,"1,647",9772906,Nordendorf (VGem),9772000,Augsburg
9772223,"Zusmarshausen, Markt",68.6,"6,332",9772223,"Zusmarshausen, Markt",9772000,Augsburg
9772444,Gdefr. Geb. (Lkr Augsburg),3.28,0,9772444,Gdefr. Geb. (Lkr Augsburg),9772000,Augsburg
9773111,"Aislingen, Markt",19.35,"1,304",9773919,Holzheim (VGem),9773000,Dillingen a.d.Donau
9773112,Bachhagel,19.75,"2,197",9773914,Syrgenstein (VGem),9773000,Dillingen a.d.Donau
9773113,Bächingen a.d.Brenz,7.35,"1,327",9773913,Gundelfingen a.d.Donau (VGem),9773000,Dillingen a.d.Donau
9773116,Binswangen,11.91,"1,338",9773918,Wertingen (VGem),9773000,Dillingen a.d.Donau
9773117,"Bissingen, Markt",64.2,"3,630",9773117,"Bissingen, Markt",9773000,Dillingen a.d.Donau
9773119,Blindheim,26.4,"1,690",9773916,Höchstädt a.d.Donau (VGem),9773000,Dillingen a.d.Donau
9773122,Buttenwiesen,59.49,"5,895",9773122,Buttenwiesen,9773000,Dillingen a.d.Donau
9773125,"Dillingen a.d.Donau, GKSt",75.59,"18,699",9773125,"Dillingen a.d.Donau, GKSt",9773000,Dillingen a.d.Donau
9773133,Glött,10.99,"1,118",9773919,Holzheim (VGem),9773000,Dillingen a.d.Donau
9773136,"Gundelfingen a.d.Donau, Stadt",54.06,"7,705",9773913,Gundelfingen a.d.Donau (VGem),9773000,Dillingen a.d.Donau
9773137,Haunsheim,17.81,"1,585",9773913,Gundelfingen a.d.Donau (VGem),9773000,Dillingen a.d.Donau
9773139,"Höchstädt a.d.Donau, Stadt",37.45,"6,721",9773916,Höchstädt a.d.Donau (VGem),9773000,Dillingen a.d.Donau
9773140,Holzheim,40.86,"3,630",9773919,Holzheim (VGem),9773000,Dillingen a.d.Donau
9773143,Laugna,27.58,"1,584",9773918,Wertingen (VGem),9773000,Dillingen a.d.Donau
9773144,"Lauingen (Donau), Stadt",44.39,"10,923",9773144,"Lauingen (Donau), Stadt",9773000,Dillingen a.d.Donau
9773146,Lutzingen,24.97,982,9773916,Höchstädt a.d.Donau (VGem),9773000,Dillingen a.d.Donau
9773147,Mödingen,23.03,"1,276",9773915,Wittislingen (VGem),9773000,Dillingen a.d.Donau
9773150,Finningen,27.82,"1,687",9773916,Höchstädt a.d.Donau (VGem),9773000,Dillingen a.d.Donau
9773153,Medlingen,17.09,"1,009",9773913,Gundelfingen a.d.Donau (VGem),9773000,Dillingen a.d.Donau
9773164,Schwenningen,25.05,"1,408",9773916,Höchstädt a.d.Donau (VGem),9773000,Dillingen a.d.Donau
9773170,Syrgenstein,16.64,"3,664",9773914,Syrgenstein (VGem),9773000,Dillingen a.d.Donau
9773179,Villenbach,17.8,"1,257",9773918,Wertingen (VGem),9773000,Dillingen a.d.Donau
9773182,"Wertingen, Stadt",51.88,"9,223",9773918,Wertingen (VGem),9773000,Dillingen a.d.Donau
9773183,"Wittislingen, Markt",17.41,"2,379",9773915,Wittislingen (VGem),9773000,Dillingen a.d.Donau
9773186,Ziertheim,20.81,987,9773915,Wittislingen (VGem),9773000,Dillingen a.d.Donau
9773187,Zöschingen,14.63,732,9773914,Syrgenstein (VGem),9773000,Dillingen a.d.Donau
9773188,Zusamaltheim,17.93,"1,209",9773918,Wertingen (VGem),9773000,Dillingen a.d.Donau
9774111,Aletshausen,17.65,"1,138",9774931,Krumbach (Schwaben) (VGem),9774000,Günzburg
9774115,Balzhausen,14.63,"1,207",9774932,Thannhausen (VGem),9774000,Günzburg
9774116,Ursberg,25.4,"3,206",9774116,Ursberg,9774000,Günzburg
9774117,Breitenthal,13.27,"1,215",9774931,Krumbach (Schwaben) (VGem),9774000,Günzburg
9774118,Bubesheim,7.76,"1,543",9774929,Kötz (VGem),9774000,Günzburg
9774119,Bibertal,27.3,"4,829",9774119,Bibertal,9774000,Günzburg
9774121,"Burgau, Stadt",25.92,"9,770",9774121,"Burgau, Stadt",9774000,Günzburg
9774122,"Burtenbach, Markt",37.64,"3,460",9774122,"Burtenbach, Markt",9774000,Günzburg
9774124,Deisenhausen,11.67,"1,470",9774931,Krumbach (Schwaben) (VGem),9774000,Günzburg
9774127,Dürrlauingen,12.34,"1,624",9774928,Haldenwang (VGem),9774000,Günzburg
9774129,Ebershausen,9.09,615,9774931,Krumbach (Schwaben) (VGem),9774000,Günzburg
9774133,Ellzee,14.77,"1,175",9774930,Ichenhausen (VGem),9774000,Günzburg
9774135,"Günzburg, GKSt",55.4,"20,355",9774135,"Günzburg, GKSt",9774000,Günzburg
9774136,Gundremmingen,10.84,"1,323",9774927,Offingen (VGem),9774000,Günzburg
9774140,Haldenwang,17.99,"1,937",9774928,Haldenwang (VGem),9774000,Günzburg
9774143,"Ichenhausen, Stadt",34.27,"9,010",9774930,Ichenhausen (VGem),9774000,Günzburg
9774144,"Jettingen-Scheppach, Markt",54.12,"7,034",9774144,"Jettingen-Scheppach, Markt",9774000,Günzburg
9774145,Kammeltal,41.72,"3,290",9774145,Kammeltal,9774000,Günzburg
9774148,Kötz,20.53,"3,239",9774929,Kötz (VGem),9774000,Günzburg
9774150,"Krumbach (Schwaben), Stadt",44.64,"13,135",9774150,"Krumbach (Schwaben), Stadt",9774000,Günzburg
9774151,Landensberg,7.95,702,9774928,Haldenwang (VGem),9774000,Günzburg
9774155,"Leipheim, Stadt",32.15,"7,124",9774155,"Leipheim, Stadt",9774000,Günzburg
9774160,"Münsterhausen, Markt",18.47,"1,955",9774932,Thannhausen (VGem),9774000,Günzburg
9774162,"Neuburg a.d.Kammel, Markt",37.9,"3,156",9774162,"Neuburg a.d.Kammel, Markt",9774000,Günzburg
9774166,Aichen,17.62,"1,155",9774933,Ziemetshausen (VGem),9774000,Günzburg
9774171,"Offingen, Markt",14.91,"4,241",9774927,Offingen (VGem),9774000,Günzburg
9774174,Rettenbach,12.74,"1,650",9774927,Offingen (VGem),9774000,Günzburg
9774178,Röfingen,6.62,"1,123",9774928,Haldenwang (VGem),9774000,Günzburg
9774185,"Thannhausen, Stadt",20.03,"6,134",9774932,Thannhausen (VGem),9774000,Günzburg
9774189,Wiesenbach,11.48,960,9774931,Krumbach (Schwaben) (VGem),9774000,Günzburg
9774191,"Waldstetten, Markt",11.13,"1,182",9774930,Ichenhausen (VGem),9774000,Günzburg
9774192,Waltenhausen,13.43,725,9774931,Krumbach (Schwaben) (VGem),9774000,Günzburg
9774196,Winterbach,14.83,739,9774928,Haldenwang (VGem),9774000,Günzburg
9774198,"Ziemetshausen, Markt",42.95,"3,098",9774933,Ziemetshausen (VGem),9774000,Günzburg
9774444,Gdefr. Geb. (Lkr Günzburg),3.25,0,9774444,Gdefr. Geb. (Lkr Günzburg),9774000,Günzburg
9775111,"Altenstadt, Markt",31.3,"5,057",9775940,Altenstadt (VGem),9775000,Neu-Ulm
9775115,Bellenberg,5.12,"4,539",9775115,Bellenberg,9775000,Neu-Ulm
9775118,"Buch, Markt",40.06,"3,954",9775941,Buch (VGem),9775000,Neu-Ulm
9775126,Holzheim,7.6,"1,925",9775939,Pfaffenhofen a.d.Roth (VGem),9775000,Neu-Ulm
9775129,"Illertissen, Stadt",36.39,"17,266",9775129,"Illertissen, Stadt",9775000,Neu-Ulm
9775132,"Kellmünz a.d.Iller, Markt",8.52,"1,396",9775940,Altenstadt (VGem),9775000,Neu-Ulm
9775134,Nersingen,24.28,"9,437",9775134,Nersingen,9775000,Neu-Ulm
9775135,"Neu-Ulm, GKSt",80.95,"57,727",9775135,"Neu-Ulm, GKSt",9775000,Neu-Ulm
9775139,Elchingen,24.89,"9,341",9775139,Elchingen,9775000,Neu-Ulm
9775141,Oberroth,9.94,902,9775941,Buch (VGem),9775000,Neu-Ulm
9775142,Osterberg,13.79,913,9775940,Altenstadt (VGem),9775000,Neu-Ulm
9775143,"Pfaffenhofen a.d.Roth, Markt",42.68,"7,281",9775939,Pfaffenhofen a.d.Roth (VGem),9775000,Neu-Ulm
9775149,Roggenburg,27.43,"2,682",9775149,Roggenburg,9775000,Neu-Ulm
9775152,"Senden, Stadt",25.21,"22,133",9775152,"Senden, Stadt",9775000,Neu-Ulm
9775161,Unterroth,15.39,"1,057",9775941,Buch (VGem),9775000,Neu-Ulm
9775162,"Vöhringen, Stadt",23.69,"13,500",9775162,"Vöhringen, Stadt",9775000,Neu-Ulm
9775164,"Weißenhorn, Stadt",53.72,"13,436",9775164,"Weißenhorn, Stadt",9775000,Neu-Ulm
9775444,Gdefr. Geb. (Lkr Neu-Ulm),44.89,0,9775444,Gdefr. Geb. (Lkr Neu-Ulm),9775000,Neu-Ulm
9776111,Bodolz,3.03,"3,030",9776111,Bodolz,9776000,Lindau (Bodensee)
