kennziffer,name,fl17,bev17,sgtyp,sgtyp_name,wo,,mittelb17,mittelb17name,ihk17,ihk17name
3357907,Tarmstedt,186.82,"10,830",50,Landgemeinde,1,West,31902,Zeven,71,IHK Stade für Elbe-Weser-Raum
3357908,Zeven,254.32,"22,963",30,Größere Kleinstadt,1,West,31902,Zeven,71,IHK Stade für Elbe-Weser-Raum
3358002,Bispingen,128.48,"6,486",40,Kleine Kleinstadt,1,West,32001,Soltau,51,IHK Lüneburg-Wolfsburg
3358004,Bomlitz,64.17,"6,955",40,Kleine Kleinstadt,1,West,32003,Walsrode,51,IHK Lüneburg-Wolfsburg
3358008,"Bad Fallingbostel, Stadt",63.70,"11,680",30,Größere Kleinstadt,1,West,32003,Walsrode,51,IHK Lüneburg-Wolfsburg
3358016,"Munster, Stadt",194.52,"14,983",30,Größere Kleinstadt,1,West,32002,Munster,51,IHK Lüneburg-Wolfsburg
3358017,Neuenkirchen,97.09,"5,622",40,Kleine Kleinstadt,1,West,32001,Soltau,51,IHK Lüneburg-Wolfsburg
3358019,"Schneverdingen, Stadt",234.92,"18,638",30,Größere Kleinstadt,1,West,32001,Soltau,51,IHK Lüneburg-Wolfsburg
3358021,"Soltau, Stadt",203.77,"21,257",20,Mittelstadt,1,West,32001,Soltau,51,IHK Lüneburg-Wolfsburg
3358022,"Walsrode, Stadt",272.29,"23,089",20,Mittelstadt,1,West,32003,Walsrode,51,IHK Lüneburg-Wolfsburg
3358023,Wietzendorf,107.58,"4,133",50,Landgemeinde,1,West,32001,Soltau,51,IHK Lüneburg-Wolfsburg
3358501,"Osterheide, gemfr. Bezirk",179.00,"1,961",50,Landgemeinde,1,West,32003,Walsrode,51,IHK Lüneburg-Wolfsburg
3358901,Ahlden,85.02,"6,918",50,Landgemeinde,1,West,32003,Walsrode,51,IHK Lüneburg-Wolfsburg
3358902,Rethem/ Aller,109.23,"4,551",50,Landgemeinde,1,West,32003,Walsrode,51,IHK Lüneburg-Wolfsburg
3358903,Schwarmstedt,141.63,"12,826",40,Kleine Kleinstadt,1,West,32003,Walsrode,51,IHK Lüneburg-Wolfsburg
3359010,"Buxtehude, Stadt",76.69,"39,782",20,Mittelstadt,1,West,32102,Buxtehude,71,IHK Stade für Elbe-Weser-Raum
3359013,Drochtersen,126.79,"11,164",30,Größere Kleinstadt,1,West,32101,Stade,71,IHK Stade für Elbe-Weser-Raum
3359028,Jork,62.25,"11,962",30,Größere Kleinstadt,1,West,32102,Buxtehude,71,IHK Stade für Elbe-Weser-Raum
3359038,"Stade, Hansestadt",110.07,"47,330",20,Mittelstadt,1,West,32101,Stade,71,IHK Stade für Elbe-Weser-Raum
3359901,Apensen,74.46,"9,372",50,Landgemeinde,1,West,32102,Buxtehude,71,IHK Stade für Elbe-Weser-Raum
3359902,Fredenbeck,144.08,"12,713",40,Kleine Kleinstadt,1,West,32101,Stade,71,IHK Stade für Elbe-Weser-Raum
3359903,Harsefeld,165.53,"21,447",30,Größere Kleinstadt,1,West,32102,Buxtehude,71,IHK Stade für Elbe-Weser-Raum
3359905,Horneburg,60.02,"12,626",40,Kleine Kleinstadt,1,West,32102,Buxtehude,71,IHK Stade für Elbe-Weser-Raum
3359906,Lühe,57.93,"9,979",50,Landgemeinde,1,West,32101,Stade,71,IHK Stade für Elbe-Weser-Raum
3359907,Nordkehdingen,193.19,"7,336",50,Landgemeinde,1,West,32101,Stade,71,IHK Stade für Elbe-Weser-Raum
